 SOUID,    DATE,   FG, Q_FG
223175,19840501,-9999,    9
223175,19840502,   30,    0
223175,19840503,   50,    0
223175,19840504,   22,    0
223175,19840505,-9999,    9
223175,19840506,-9999,    9
223175,19840507,  126,    0
223175,19840508,   72,    0
223175,19840509,   57,    0
223175,19840510,   57,    0
223175,19840511,  102,    0
223175,19840512,-9999,    9
223175,19840513,-9999,    9
223175,19840514,   53,    0
223175,19840515,   48,    0
223175,19840516,   20,    0
223175,19840517,   23,    0
223175,19840518,   52,    0
223175,19840519,-9999,    9
223175,19840520,-9999,    9
223175,19840521,   66,    0
223175,19840522,   87,    0
223175,19840523,   26,    0
223175,19840524,   72,    0
223175,19840525,   38,    0
223175,19840526,-9999,    9
223175,19840527,-9999,    9
223175,19840528,   10,    0
223175,19840529,   52,    0
223175,19840530,   91,    0
223175,19840531,-9999,    9
223175,19840601,-9999,    9
223175,19840602,-9999,    9
223175,19840603,-9999,    9
223175,19840604,   38,    0
223175,19840605,   37,    0
223175,19840606,   32,    0
223175,19840607,   40,    0
223175,19840608,   20,    0
223175,19840609,-9999,    9
223175,19840610,-9999,    9
223175,19840611,-9999,    9
223175,19840612,    5,    0
223175,19840613,   23,    0
223175,19840614,   22,    0
223175,19840615,   27,    0
223175,19840616,-9999,    9
223175,19840617,-9999,    9
223175,19840618,   21,    0
223175,19840619,    7,    0
223175,19840620,    9,    0
223175,19840621,   13,    0
223175,19840622,   17,    0
223175,19840623,-9999,    9
223175,19840624,-9999,    9
223175,19840625,   26,    0
223175,19840626,   22,    0
223175,19840627,   16,    0
223175,19840628,   24,    0
223175,19840629,   18,    0
223175,19840630,-9999,    9
223175,19840701,-9999,    9
223175,19840702,   16,    0
223175,19840703,   40,    0
223175,19840704,   16,    0
223175,19840705,   28,    0
223175,19840706,   17,    0
223175,19840707,-9999,    9
223175,19840708,-9999,    9
223175,19840709,   18,    0
223175,19840710,   21,    0
223175,19840711,   27,    0
223175,19840712,   23,    0
223175,19840713,   29,    0
223175,19840714,-9999,    9
223175,19840715,-9999,    9
223175,19840716,   40,    0
223175,19840717,   35,    0
223175,19840718,   13,    0
223175,19840719,   22,    0
223175,19840720,   12,    0
223175,19840721,-9999,    9
223175,19840722,-9999,    9
223175,19840723,    6,    0
223175,19840724,   14,    0
223175,19840725,    9,    0
223175,19840726,   35,    0
223175,19840727,   28,    0
223175,19840728,-9999,    9
223175,19840729,-9999,    9
223175,19840730,   22,    0
223175,19840731,   29,    0
223175,19840801,   13,    0
223175,19840802,   19,    0
223175,19840803,   17,    0
223175,19840804,-9999,    9
223175,19840805,-9999,    9
223175,19840806,   25,    0
223175,19840807,   20,    0
223175,19840808,   29,    0
223175,19840809,   40,    0
223175,19840810,   55,    0
223175,19840811,-9999,    9
223175,19840812,-9999,    9
223175,19840813,   28,    0
223175,19840814,   11,    0
223175,19840815,-9999,    9
223175,19840816,   15,    0
223175,19840817,   11,    0
223175,19840818,-9999,    9
223175,19840819,-9999,    9
223175,19840820,   20,    0
223175,19840821,   31,    0
223175,19840822,   24,    0
223175,19840823,   18,    0
223175,19840824,   11,    0
223175,19840825,-9999,    9
223175,19840826,-9999,    9
223175,19840827,    8,    0
223175,19840828,    9,    0
223175,19840829,   10,    0
223175,19840830,   22,    0
223175,19840831,   20,    0
906496,19840901,-9999,    9
