 SOUID,    DATE,   FG, Q_FG
221729,19730101,    7,    0
221729,19730102,   11,    0
221729,19730103,   17,    0
221729,19730104,   11,    0
221729,19730105,   33,    0
221729,19730106,   34,    0
221729,19730107,   23,    0
221729,19730108,    8,    0
221729,19730109,    4,    0
221729,19730110,   11,    0
221729,19730111,   13,    0
221729,19730112,   13,    0
221729,19730113,   20,    0
221729,19730114,   32,    0
221729,19730115,   47,    0
221729,19730116,   25,    0
221729,19730117,   32,    0
221729,19730118,   39,    0
221729,19730119,   14,    0
221729,19730120,   36,    0
221729,19730121,   33,    0
221729,19730122,   34,    0
221729,19730123,   39,    0
221729,19730124,   24,    0
221729,19730125,   22,    0
221729,19730126,   56,    0
221729,19730127,   60,    0
221729,19730128,   34,    0
221729,19730129,   42,    0
221729,19730130,   41,    0
221729,19730131,   26,    0
221729,19730201,   19,    0
221729,19730202,   12,    0
221729,19730203,   12,    0
221729,19730204,   10,    0
221729,19730205,   41,    0
221729,19730206,   71,    0
221729,19730207,   65,    0
221729,19730208,   70,    0
221729,19730209,   60,    0
221729,19730210,   55,    0
221729,19730211,   39,    0
221729,19730212,   85,    0
221729,19730213,   82,    0
221729,19730214,   63,    0
221729,19730215,   28,    0
221729,19730216,   27,    0
221729,19730217,   34,    0
221729,19730218,   44,    0
221729,19730219,   18,    0
221729,19730220,   19,    0
221729,19730221,   44,    0
221729,19730222,   46,    0
221729,19730223,   76,    0
221729,19730224,   45,    0
221729,19730225,   30,    0
221729,19730226,   10,    0
221729,19730227,   12,    0
221729,19730228,   34,    0
221729,19730301,   37,    0
221729,19730302,   40,    0
221729,19730303,   51,    0
221729,19730304,   44,    0
221729,19730305,   29,    0
221729,19730306,   47,    0
221729,19730307,   48,    0
221729,19730308,   19,    0
221729,19730309,   24,    0
221729,19730310,   13,    0
221729,19730311,   14,    0
221729,19730312,   43,    0
221729,19730313,   44,    0
221729,19730314,   45,    0
221729,19730315,   35,    0
221729,19730316,   22,    0
221729,19730317,   10,    0
221729,19730318,   37,    0
221729,19730319,   25,    0
221729,19730320,    6,    0
221729,19730321,   17,    0
221729,19730322,   13,    0
221729,19730323,    7,    0
221729,19730324,   40,    0
221729,19730325,   23,    0
221729,19730326,   14,    0
221729,19730327,   23,    0
221729,19730328,   16,    0
221729,19730329,   30,    0
221729,19730330,   12,    0
221729,19730331,   15,    0
221729,19730401,   63,    0
221729,19730402,  100,    0
221729,19730403,   59,    0
221729,19730404,   45,    0
221729,19730405,   68,    0
221729,19730406,   61,    0
221729,19730407,   54,    0
221729,19730408,   26,    0
221729,19730409,   45,    0
221729,19730410,   52,    0
221729,19730411,   52,    0
221729,19730412,   44,    0
221729,19730413,   24,    0
221729,19730414,    9,    0
221729,19730415,   30,    0
221729,19730416,   23,    0
221729,19730417,   38,    0
221729,19730418,   52,    0
221729,19730419,   51,    0
221729,19730420,   33,    0
221729,19730421,   24,    0
221729,19730422,   36,    0
221729,19730423,   27,    0
221729,19730424,   45,    0
221729,19730425,   40,    0
221729,19730426,   14,    0
221729,19730427,   26,    0
221729,19730428,   13,    0
221729,19730429,   23,    0
221729,19730430,   35,    0
221729,19730501,   21,    0
221729,19730502,   30,    0
221729,19730503,   22,    0
221729,19730504,   35,    0
221729,19730505,   49,    0
221729,19730506,   55,    0
221729,19730507,   34,    0
221729,19730508,   31,    0
221729,19730509,   42,    0
221729,19730510,   57,    0
221729,19730511,   32,    0
221729,19730512,   21,    0
221729,19730513,   44,    0
221729,19730514,   24,    0
221729,19730515,   22,    0
221729,19730516,   41,    0
221729,19730517,   40,    0
221729,19730518,   20,    0
221729,19730519,   27,    0
221729,19730520,   26,    0
221729,19730521,   26,    0
